,dt,id,jd,seg_pos,t,track_pos,x,y,z,seg.D_msd,seg.D_msd_intercept,seg.D_msd_r,seg.D_msd_std_err,seg.id,seg.lifetime,seg.loc_count,seg.mjd,seg.mjd_n,seg.mjd_std_err,seg.motion,seg.msd,seg.msd_n,seg.msd_std_err,seg.t_start,seg.track_pos,track.id,track.lifetime,track.loc_count,track.noise,track.seg_count,track.t_start
0,1,0,0,0,0,0,0,0,0,0,0,nan,0,1,780,781,0,780,0,immobile,0,780,0,0,0,1,780,781,0,1,0
1,1,1,0,0,0,0,24795,16965,200,0.0005401679842,0.006689772727,0.9968588652,2.046358686e-010,24,38,39,58.16270789,38,12.75869652,immobile,9405.921053,38,2200.034437,0,0,12,562,563,0,11,0
2,1,2,458.5302607,0,0,0,5655,25520,400,0.05384488203,-0.07533127962,0.9880917706,8.787957122e-006,38,34,35,403.9562106,34,40.40386488,diffusion,217052.2059,34,40994.11872,0,0,14,34,35,0,1,0
3,1,3,458.5302607,0,0,0,25520,15225,1400,0.003926265146,0.06907229508,0.9857870716,1.053465534e-007,39,19,20,254.6578152,19,35.4096142,immobile,87419.73684,19,22979.09762,0,0,15,53,54,0,4,0
4,1,4,0,0,0,0,26100,26825,1400,0.0001088871488,0.02673864123,0.186580367,5.057312823e-008,43,28,29,134.1223845,28,18.3013143,immobile,27032.14286,28,6653.712347,0,0,16,28,29,0,1,0
5,1,5,145,0,0,0,22475,26535,2300,-0.002285326087,0.04205,-1,0,0,2,3,175.0304833,2,30.03048327,immobile,31537.5,2,10512.5,0,0,0,2,3,0,1,0
6,1,6,0,0,0,0,21460,24795,3200,0.0008821597391,0.001290979585,0.9985460576,1.148292532e-010,46,81,82,33.70520905,81,7.119793631,immobile,5191.358025,81,1140.327611,0,0,19,132,133,0,3,0
7,1,7,145,0,0,0,24940,20155,3300,0.001130338481,0.003952311248,0.9968625379,1.288822528e-009,49,27,28,55.00677406,27,15.58931988,immobile,9344.444444,27,2824.220619,0,0,20,185,186,0,9,0
8,1,8,145,0,0,0,31465,12905,4600,0.0009141304348,0,0.9097176523,3.481810216e-007,44,4,5,36.25,4,36.25,immobile,5256.25,4,5256.25,0,0,17,4,5,0,1,0
9,1,9,145,0,0,0,42050,32335,5000,0.003416368828,0.02084682203,0.9938640802,2.312973808e-008,17,27,28,158.693244,27,19.47199267,immobile,35041.66667,27,7185.787576,0,0,11,105,106,0,7,0
10,1,10,145,0,0,0,32915,38425,5200,-9.622425629e-005,0.01383223684,-0.1291330777,5.459979953e-007,35,6,7,72.5,6,32.42298567,immobile,10512.5,6,4701.332923,0,0,13,96,97,0,3,0
11,1,11,145,0,0,0,46400,24070,5400,0.0005401679842,0.02293636364,0.5961746814,3.023754563e-007,15,9,10,110.0135481,9,37.51354812,immobile,23361.11111,9,9560.946779,0,0,9,9,10,0,1,0
12,1,12,324.2298567,0,0,0,18125,34220,5700,0.0398062253,0.07664568182,0.9705565687,5.576986136e-005,16,9,10,445.6412392,9,81.93281236,diffusion,252300,9,85977.14106,0,0,10,9,10,0,1,0
13,1,13,324.2298567,0,0,0,6090,34655,6100,0.01646549576,0.06538262195,0.9522829905,1.856702397e-005,2,8,9,319.9113529,8,55.00467679,diffusion,123521.875,8,38612.61632,0,0,2,8,9,0,1,0
14,1,14,145,0,0,0,18125,33495,7000,0.0008541874555,0.004273934426,0.9946684935,1.845361261e-009,3,19,20,48.95057719,19,17.23996266,immobile,7746.052632,19,2880.885955,0,0,3,297,298,0,7,0
15,1,15,205.0609665,0,0,0,29290,28855,10000,-0.002285326087,0.04205,-1,0,10,2,3,175.0304833,2,30.03048327,immobile,31537.5,2,10512.5,0,0,4,2,3,0,1,0
